model_arch,train_type,layer,sub,target_age,target_roi,corr
cornet_z_cl,imagenet_noface,aIT,NDARWV984WMM,6.0,rFFA,0.11551322563445707
cornet_z_cl,imagenet_noface,aIT,NDARWV984WMM,6.0,rOFA,0.08868191593082535
cornet_z_cl,imagenet_noface,aIT,NDARXB692PXC,6.0,lLO,0.07162205307827318
cornet_z_cl,imagenet_noface,aIT,NDARXB692PXC,6.0,lFFA,0.039775135916797905
cornet_z_cl,imagenet_noface,aIT,NDARXB692PXC,6.0,lOFA,0.044184924494754946
cornet_z_cl,imagenet_noface,aIT,NDARXB692PXC,6.0,rLO,0.07199626209616762
cornet_z_cl,imagenet_noface,aIT,NDARXB692PXC,6.0,rFFA,0.04316566842295481
cornet_z_cl,imagenet_noface,aIT,NDARXB692PXC,6.0,rOFA,0.05998795755389597
cornet_z_cl,imagenet_noface,aIT,NDARXR123PFR,7.0,lLO,0.07567631351659847
cornet_z_cl,imagenet_noface,aIT,NDARXR123PFR,7.0,lFFA,0.05650946408921246
cornet_z_cl,imagenet_noface,aIT,NDARXR123PFR,7.0,lOFA,0.060481671801620875
cornet_z_cl,imagenet_noface,aIT,NDARXR123PFR,7.0,rLO,0.10027183810739006
cornet_z_cl,imagenet_noface,aIT,NDARXR123PFR,7.0,rFFA,0.07202052178781455
cornet_z_cl,imagenet_noface,aIT,NDARXR123PFR,7.0,rOFA,0.07869648670524793
cornet_z_cl,imagenet_noface,aIT,NDARYE850ZVD,18.0,lLO,0.10611312221809889
